Age,Attrition,YearsAtCompany,JobSatisfaction,JobLevel,MonthlyIncome
60,Yes,13,2,3,11194
50,No,6,1,4,11551
36,No,8,2,4,11597
29,Yes,14,4,1,7926
42,No,14,4,1,8475
60,Yes,9,2,4,11205
40,No,12,3,3,10976
44,No,18,2,2,10674
32,No,6,3,4,11844
32,No,16,1,1,8141
45,No,19,1,3,13107
57,No,3,1,4,11222
45,No,4,4,4,9405
24,No,6,1,3,10218
43,No,12,3,4,12010
23,No,14,1,3,10634
45,No,10,2,2,6584
51,No,3,2,3,8088
59,No,12,4,3,10897
23,No,6,2,3,9132
42,No,18,3,4,13876
54,Yes,1,1,4,9171
33,Yes,9,4,3,10757
43,Yes,12,1,4,13371
46,Yes,20,1,1,9593
48,No,5,3,1,4229
49,No,11,2,4,14041
37,Yes,11,2,4,12553
36,Yes,19,1,3,13028
24,Yes,10,4,2,7551
58,No,6,2,4,11192
28,No,0,4,1,4589
42,No,0,2,3,7801
30,No,19,4,4,15061
60,No,12,3,1,8210
39,No,8,4,1,5360
25,No,2,3,2,7195
46,No,6,3,3,9676
35,Yes,5,4,3,9147
30,No,7,3,2,6750
47,No,8,1,2,9136
23,No,4,3,3,9178
41,No,0,2,3,6652
49,Yes,18,4,4,14030
28,No,9,1,4,12179
29,No,11,4,2,9205
56,No,14,2,4,13111
35,No,8,2,1,6539
38,No,19,2,4,15933
57,Yes,16,3,4,14783
