Order_ID,Order_Date,Region,Category,Sales,Profit,Quantity,Discount
ORD-0068,2024-01-01,South,Technology,3490.29,-436.51,7,0.11
ORD-0033,2024-01-01,West,Office Supplies,3485.59,1091.46,5,0.02
ORD-0027,2024-01-01,South,Technology,3420.07,0.56,2,0.17
ORD-0020,2024-02-01,East,Furniture,2725.3,129.27,9,0.19
ORD-0070,2024-02-01,Central,Furniture,1198.92,112.32,10,0.39
ORD-0073,2024-02-01,East,Furniture,1694.46,808.99,4,0.49
ORD-0024,2024-02-01,East,Technology,1013.94,1143.31,10,0.33
ORD-0051,2024-02-01,Central,Furniture,1761.25,369.28,5,0.27
ORD-0079,2024-02-01,Central,Furniture,559.01,419.08,10,0.48
ORD-0055,2024-02-01,East,Furniture,4446.72,693.34,14,0.05
ORD-0060,2024-02-01,South,Technology,4502.92,-340.23,10,0.48
ORD-0008,2024-03-01,South,Technology,1273.85,354.48,1,0.4
ORD-0044,2024-03-01,Central,Office Supplies,2820.48,694.22,3,0.43
ORD-0067,2024-03-01,East,Technology,2788.8,-448.15,5,0.28
ORD-0017,2024-03-01,West,Technology,1902.14,1098.78,5,0.1
ORD-0046,2024-03-01,West,Furniture,1285.08,-0.89,6,0.12
ORD-0039,2024-03-01,West,Furniture,4631.0,-261.86,13,0.29
ORD-0042,2024-04-01,South,Office Supplies,3333.92,759.31,12,0.13
ORD-0002,2024-04-01,East,Furniture,280.75,-85.22,13,0.34
ORD-0069,2024-04-01,West,Office Supplies,3294.61,898.42,10,0.47
ORD-0072,2024-04-01,South,Office Supplies,1262.52,387.81,5,0.47
ORD-0061,2024-04-01,South,Furniture,3071.5,483.08,5,0.34
ORD-0077,2024-04-01,Central,Office Supplies,3322.3,-412.14,10,0.27
ORD-0052,2024-04-01,West,Technology,1811.13,352.58,1,0.25
ORD-0014,2024-04-01,West,Office Supplies,3831.94,-458.66,10,0.31
ORD-0026,2024-05-01,South,Technology,2995.38,950.12,1,0.34
ORD-0005,2024-05-01,South,Technology,352.25,1016.48,10,0.47
ORD-0019,2024-05-01,West,Furniture,3204.3,1055.27,7,0.11
ORD-0045,2024-05-01,Central,Technology,2695.29,111.13,5,0.28
ORD-0048,2024-05-01,Central,Office Supplies,4496.36,877.19,13,0.37
ORD-0013,2024-05-01,South,Office Supplies,3393.46,-22.69,7,0.41
ORD-0059,2024-05-01,West,Office Supplies,891.98,138.49,10,0.18
ORD-0074,2024-06-01,Central,Office Supplies,3757.81,-133.1,2,0.5
ORD-0030,2024-06-01,West,Technology,1209.83,38.77,9,0.35
ORD-0018,2024-06-01,South,Technology,3198.3,1121.68,14,0.14
ORD-0078,2024-06-01,West,Technology,2884.71,403.3,3,0.35
ORD-0075,2024-06-01,Central,Office Supplies,3283.2,558.91,4,0.03
ORD-0023,2024-06-01,South,Technology,1671.82,227.91,1,0.17
ORD-0047,2024-07-01,South,Technology,556.2,875.91,9,0.34
ORD-0050,2024-07-01,West,Furniture,3202.2,1052.51,12,0.19
ORD-0001,2024-07-01,South,Technology,1495.72,-49.16,4,0.27
ORD-0064,2024-07-01,South,Furniture,3351.16,422.5,1,0.04
ORD-0006,2024-07-01,East,Technology,1465.37,572.94,14,0.43
ORD-0009,2024-07-01,Central,Technology,809.98,480.74,8,0.34
ORD-0041,2024-07-01,South,Office Supplies,1363.91,991.53,3,0.06
ORD-0004,2024-08-01,East,Office Supplies,2563.13,168.27,12,0.47
ORD-0012,2024-08-01,Central,Technology,1286.07,728.17,10,0.41
ORD-0015,2024-08-01,East,Furniture,1264.42,597.3,5,0.41
ORD-0021,2024-08-01,Central,Office Supplies,542.42,-473.72,12,0.02
ORD-0066,2024-08-01,Central,Office Supplies,887.96,504.42,14,0.3
ORD-0016,2024-08-01,South,Technology,3668.26,-198.91,10,0.33
ORD-0071,2024-08-01,South,Furniture,3589.68,-284.0,6,0.06
ORD-0049,2024-09-01,Central,Furniture,4512.05,974.02,14,0.12
ORD-0057,2024-09-01,South,Technology,3245.96,1013.01,5,0.48
ORD-0053,2024-09-01,East,Office Supplies,3657.18,857.1,14,0.19
ORD-0032,2024-09-01,Central,Technology,954.4,446.56,13,0.47
ORD-0043,2024-09-01,Central,Technology,4104.39,684.93,10,0.29
ORD-0076,2024-10-01,West,Technology,4261.19,-354.91,10,0.37
ORD-0080,2024-10-01,East,Furniture,1901.81,583.63,1,0.34
ORD-0056,2024-10-01,West,Furniture,3921.39,852.85,4,0.03
ORD-0007,2024-10-01,Central,Office Supplies,4550.5,851.18,3,0.32
ORD-0036,2024-10-01,Central,Furniture,773.85,-334.8,7,0.27
ORD-0058,2024-10-01,Central,Technology,512.29,74.59,12,0.42
ORD-0029,2024-10-01,West,Furniture,2609.26,946.93,6,0.25
ORD-0003,2024-11-01,East,Furniture,3086.87,1154.12,2,0.31
ORD-0010,2024-11-01,South,Furniture,2498.32,337.28,3,0.29
