TV,Radio,Newspaper,Sales
112.4,32.1,12.4,13.36
285.2,4.2,108.3,16.38
219.6,8.1,60.6,14.81
179.6,44.9,99.2,18.37
46.8,30.3,38.4,9.99
46.8,0.5,107.5,3.94
17.4,5.1,46.7,7.63
259.9,33.2,1.3,21.24
180.3,0.3,108.6,10.87
212.4,8.0,11.0,14.76
6.2,27.4,38.3,8.18
291.0,34.6,114.0,22.94
249.7,32.6,114.1,21.81
63.7,11.2,68.8,9.28
54.5,35.6,75.8,11.45
55.0,11.9,53.8,7.08
91.3,16.3,35.2,9.95
157.4,37.3,39.4,14.01
129.6,32.5,80.7,13.06
87.4,42.5,90.3,16.94
183.6,32.9,95.0,20.14
41.8,28.4,94.8,10.01
87.6,4.7,10.9,8.8
109.9,18.4,59.3,12.09
136.8,13.3,6.9,16.15
235.6,12.2,65.9,18.03
59.9,48.7,53.0,14.56
154.3,19.7,106.5,12.78
177.7,44.6,42.1,17.26
13.9,31.6,14.0,9.67
182.3,39.7,17.2,17.71
51.2,25.1,91.4,8.21
19.5,28.8,74.2,8.42
284.7,24.6,12.1,19.33
289.7,9.8,10.1,20.77
242.5,36.1,84.1,22.38
91.4,14.0,8.7,9.83
29.3,1.2,98.6,6.96
205.3,32.3,84.7,18.83
132.0,8.9,9.8,9.63
36.6,47.0,10.2,15.34
148.6,47.7,118.4,19.68
10.3,45.7,44.9,10.39
272.8,18.5,44.5,19.02
77.6,0.8,97.5,5.86
198.8,46.4,113.7,19.1
93.5,21.4,118.3,12.9
156.0,48.3,90.4,21.97
164.0,48.2,45.2,17.56
55.5,42.7,10.0,14.11
290.9,14.7,93.3,18.69
232.5,19.3,67.0,16.92
281.8,42.6,50.9,23.24
268.4,15.8,108.8,17.58
179.4,8.5,13.3,13.07
276.6,27.8,59.1,20.02
26.5,46.8,1.4,13.05
58.8,34.8,56.2,12.13
13.6,28.5,6.8,8.46
97.6,4.9,14.3,7.24
116.6,30.8,14.1,13.26
81.4,49.5,77.9,17.03
248.6,7.0,89.5,16.91
107.0,25.9,70.0,11.53
84.3,43.9,115.5,15.35
162.8,37.0,45.0,18.5
42.3,34.9,34.3,9.04
240.7,35.1,104.2,21.7
22.4,18.0,26.8,6.45
296.1,14.7,115.6,20.71
231.7,40.5,1.5,20.12
59.6,40.5,116.4,10.91
1.7,43.4,5.2,8.63
244.6,45.7,106.9,23.11
212.1,25.6,63.3,18.13
218.7,25.1,119.2,16.89
231.4,39.9,8.9,21.98
22.2,32.5,66.5,7.77
107.5,35.1,116.3,14.63
34.8,39.8,62.8,10.29
258.9,44.5,75.5,22.49
187.0,16.9,83.5,15.15
99.3,18.8,54.5,10.01
19.1,4.7,75.3,4.43
93.3,28.9,70.1,14.21
97.6,1.8,108.1,7.43
218.9,23.3,5.5,18.67
191.3,27.1,33.7,15.39
266.2,14.3,114.0,19.17
141.7,29.5,106.8,17.31
35.9,1.5,54.7,1.66
214.0,1.9,74.4,12.51
228.2,41.1,33.3,22.03
168.4,18.0,22.6,13.94
231.3,6.4,55.6,15.71
148.1,26.1,42.4,13.94
156.8,38.5,70.0,17.63
128.3,10.8,9.3,10.78
7.6,31.1,116.9,10.94
32.4,4.3,118.3,6.01
9.4,2.6,83.8,4.63
190.9,26.6,64.3,16.38
94.3,27.0,37.1,11.72
152.6,31.9,97.7,15.6
272.3,36.3,82.2,23.13
74.8,48.8,19.5,14.77
123.1,25.8,109.3,14.16
226.7,16.1,98.7,19.75
68.6,39.8,114.0,14.95
23.1,13.5,87.1,6.32
86.9,21.9,73.6,12.93
48.4,3.9,50.2,5.56
278.9,1.3,111.9,13.82
242.4,48.1,103.9,21.95
190.0,41.8,5.4,16.85
261.4,34.8,3.2,21.07
241.1,20.4,45.2,18.17
56.0,8.7,97.3,9.84
267.8,7.8,118.5,17.8
161.8,12.5,18.1,12.6
242.2,27.5,71.3,20.71
268.8,35.7,45.7,19.1
95.4,33.0,116.4,14.1
33.0,14.0,101.1,8.45
68.4,47.7,100.6,13.03
128.1,36.9,56.2,17.43
245.4,27.7,49.8,20.14
258.2,30.6,32.8,20.16
2.1,21.0,6.8,7.78
153.2,12.4,103.8,15.92
125.2,17.8,97.5,12.64
66.6,37.9,120.0,13.66
36.0,0.7,119.6,4.53
