CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Male,45,73,94
2,Male,57,53,81
3,Male,66,118,70
4,Female,24,113,70
5,Male,18,68,65
6,Female,49,112,68
7,Female,30,69,80
8,Female,47,125,99
9,Female,40,38,89
10,Male,68,132,70
11,Female,36,36,99
12,Male,49,83,85
13,Female,47,70,99
14,Female,46,47,99
15,Male,66,136,55
16,Male,62,50,96
17,Male,46,125,77
18,Female,47,34,80
19,Female,33,97,99
20,Male,57,113,78
21,Male,36,130,76
22,Male,35,121,84
23,Male,18,95,87
24,Female,31,76,77
25,Male,68,137,98
26,Male,64,123,99
27,Male,67,121,93
28,Male,19,112,83
29,Female,45,87,83
30,Male,66,40,80
31,Female,67,80,99
32,Male,47,131,99
33,Male,55,87,81
34,Female,68,87,99
35,Male,21,54,89
36,Female,18,31,99
37,Female,25,15,96
38,Male,46,103,99
39,Female,56,75,83
40,Female,20,57,99
41,Female,49,118,57
42,Female,27,56,74
43,Female,27,39,99
44,Female,36,53,79
45,Female,63,49,80
46,Female,51,17,87
47,Male,50,128,98
48,Male,40,115,70
49,Female,45,122,24
50,Male,49,58,81
51,Female,67,65,99
52,Female,24,108,97
53,Male,46,116,99
54,Female,25,112,69
55,Female,18,26,59
56,Female,20,33,99
57,Female,41,115,93
58,Male,40,58,99
59,Female,25,73,99
60,Female,64,137,91
61,Female,54,63,99
62,Male,20,75,99
63,Female,68,31,99
64,Male,50,88,99
65,Male,45,71,99
66,Female,64,69,99
67,Female,25,127,74
68,Male,51,61,99
69,Female,52,26,82
70,Male,49,76,83
71,Male,41,94,82
72,Female,31,102,99
73,Female,49,97,99
74,Male,63,22,95
75,Male,60,109,86
76,Male,33,35,91
77,Male,21,95,99
78,Female,69,101,65
79,Female,54,115,89
80,Female,38,132,86
81,Female,31,94,99
82,Female,48,84,72
83,Male,65,86,99
84,Female,35,39,96
85,Female,24,96,98
86,Female,27,103,85
87,Female,24,26,99
88,Female,50,29,91
89,Male,40,73,99
90,Male,38,40,67
91,Male,36,119,91
92,Female,65,123,94
93,Male,36,40,89
94,Male,53,61,90
95,Female,46,46,87
96,Female,35,24,92
97,Female,19,30,57
98,Male,18,85,99
99,Male,64,31,82
100,Female,22,37,94
101,Female,37,40,99
102,Male,28,99,83
103,Male,59,100,90
104,Female,19,136,47
105,Female,20,21,99
106,Male,40,28,99
107,Female,29,93,64
108,Male,37,131,77
109,Male,22,21,66
110,Male,54,23,85
111,Male,55,129,97
112,Female,47,62,99
113,Female,26,86,99
114,Male,51,128,99
115,Male,70,73,95
116,Male,61,101,72
117,Male,52,107,89
118,Male,69,96,99
119,Female,39,109,68
120,Female,61,108,99
121,Female,41,130,99
122,Female,34,53,92
123,Male,27,113,76
124,Male,47,32,78
125,Male,63,73,99
126,Male,40,120,83
127,Male,49,117,99
128,Female,34,31,84
129,Male,67,28,99
130,Female,68,45,93
131,Female,34,38,97
132,Female,31,113,85
133,Female,26,122,99
134,Male,57,74,99
135,Female,19,59,99
136,Female,62,112,99
137,Female,42,17,70
138,Male,56,51,99
139,Male,26,57,99
140,Male,39,54,99
141,Female,60,104,73
142,Female,63,69,99
143,Male,21,101,99
144,Female,43,122,73
145,Male,46,53,71
146,Male,62,29,84
147,Female,51,134,71
148,Female,40,127,85
149,Female,54,18,58
150,Female,28,107,99
151,Male,23,100,81
152,Male,35,39,99
153,Male,38,27,84
154,Male,59,96,93
155,Male,53,47,91
156,Female,58,30,78
157,Male,55,123,99
158,Male,51,56,88
159,Male,34,122,99
160,Female,54,140,63
161,Female,42,80,99
162,Female,55,69,99
163,Female,29,113,89
164,Male,40,56,86
165,Male,70,48,90
166,Female,59,44,86
167,Female,39,137,99
168,Male,38,133,84
169,Male,44,27,99
170,Female,48,27,99
171,Female,23,32,75
172,Female,44,46,95
173,Female,57,110,85
174,Male,51,113,88
175,Male,29,137,80
176,Male,62,53,83
177,Female,70,60,99
178,Female,24,130,66
179,Male,27,43,99
180,Male,62,76,99
181,Male,34,127,77
182,Male,43,107,83
183,Female,38,76,99
184,Male,45,131,70
185,Male,63,122,99
186,Male,19,71,99
187,Male,60,30,97
188,Male,18,70,99
189,Male,68,122,77
190,Male,70,125,99
191,Female,53,135,86
192,Female,68,24,99
193,Female,43,44,90
194,Female,46,39,99
195,Male,38,117,95
196,Female,28,98,99
197,Female,57,19,81
198,Male,28,79,99
199,Male,53,108,72
200,Female,66,63,89
