customerID,SeniorCitizen,Partner,Dependents,tenure,InternetService,Contract,MonthlyCharges,TotalCharges,TechSupport,Churn
C0001,0,Yes,No,49,DSL,Month-to-month,42.36,2082.32,No,Yes
C0002,1,Yes,Yes,28,Fiber optic,Month-to-month,65.9,2050.07,Yes,Yes
C0003,1,Yes,Yes,56,Fiber optic,Month-to-month,63.95,3905.09,Yes,Yes
C0004,1,No,Yes,38,Fiber optic,Month-to-month,66.24,2524.87,No,Yes
C0005,0,Yes,Yes,55,DSL,Month-to-month,81.5,4622.94,Yes,Yes
C0006,0,No,No,42,No,Month-to-month,65.91,2872.2,No,Yes
C0007,1,No,No,49,Fiber optic,Month-to-month,63.64,3139.35,No,No
C0008,0,Yes,No,22,Fiber optic,One year,66.38,1699.99,No,No
C0009,0,No,No,43,DSL,One year,78.27,3456.47,No,Yes
C0010,0,Yes,No,37,DSL,Month-to-month,72.77,3064.03,No,Yes
C0011,0,Yes,No,22,DSL,Month-to-month,105.12,2736.6,No,No
C0012,1,No,Yes,44,DSL,Two year,23.05,1286.99,Yes,No
C0013,0,No,No,51,Fiber optic,One year,103.0,5743.85,No,No
C0014,0,No,No,49,No,Two year,104.08,5325.16,No,No
C0015,1,No,Yes,7,Fiber optic,Month-to-month,47.06,586.1,No,Yes
C0016,0,No,No,0,DSL,One year,65.21,494.61,Yes,Yes
C0017,0,No,No,7,Fiber optic,Month-to-month,62.73,554.88,No,Yes
C0018,0,Yes,No,28,DSL,Month-to-month,40.29,1599.39,Yes,No
C0019,0,Yes,Yes,4,Fiber optic,Month-to-month,58.47,255.3,No,Yes
C0020,0,Yes,No,46,Fiber optic,Month-to-month,22.53,1259.57,Yes,Yes
C0021,0,No,No,33,Fiber optic,Month-to-month,46.34,1564.22,No,Yes
C0022,0,No,No,64,No,Month-to-month,101.3,6847.82,No,Yes
C0023,0,No,Yes,54,DSL,One year,47.03,2843.82,Yes,No
C0024,0,Yes,No,42,Fiber optic,Two year,101.46,4614.64,No,No
C0025,0,Yes,Yes,29,No,Month-to-month,72.22,2281.62,No,Yes
C0026,0,No,No,16,Fiber optic,Month-to-month,107.75,1908.74,No,Yes
C0027,0,No,No,25,Fiber optic,Month-to-month,76.63,1938.41,No,Yes
C0028,0,No,Yes,7,No,One year,21.03,322.18,No,Yes
C0029,0,No,Yes,46,DSL,Month-to-month,86.89,4461.58,No,Yes
C0030,0,Yes,No,71,No,Two year,22.58,1792.79,No,No
C0031,0,Yes,No,45,DSL,Month-to-month,63.96,3293.88,No,No
C0032,1,Yes,Yes,67,Fiber optic,Month-to-month,112.8,7978.76,Yes,Yes
C0033,0,No,No,32,No,One year,34.85,1301.82,No,Yes
C0034,0,Yes,No,0,DSL,Two year,57.77,315.99,No,No
C0035,0,No,No,18,Fiber optic,Month-to-month,92.45,1711.79,Yes,Yes
C0036,1,No,Yes,30,DSL,Month-to-month,107.99,3291.54,No,Yes
C0037,0,No,No,13,No,Two year,86.44,1148.05,No,No
C0038,0,Yes,No,52,No,Month-to-month,44.33,2595.67,No,No
C0039,0,Yes,No,47,Fiber optic,Two year,86.81,4293.11,Yes,No
C0040,0,No,No,68,Fiber optic,Month-to-month,48.27,3556.38,No,No
C0041,0,Yes,Yes,61,No,One year,91.28,5828.62,No,No
C0042,0,No,No,65,Fiber optic,One year,115.31,7670.25,No,No
C0043,0,No,No,63,Fiber optic,Month-to-month,91.58,6108.28,No,Yes
C0044,0,No,No,69,Fiber optic,Two year,106.01,7693.94,No,No
